cycles,instructions,load_misses,store_misses,ept_walk_cycles
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
53958,76791,24168,10117,3348
0,0,0,0,0
9025,2429,716,362,906
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
52693,76791,24168,10117,1077
0,0,0,0,0
7045,2839,839,418,342
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
51799,76791,24168,10117,873
0,0,0,0,0
9277,2429,716,362,1251
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
53742,76791,24168,10117,3322
0,0,0,0,0
8545,2839,839,418,752
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
53927,76791,24168,10117,3329
0,0,0,0,0
9051,2429,716,362,1013
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
52662,76791,24168,10117,1286
0,0,0,0,0
0,0,0,0,0
7981,2905,856,428,355
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
52431,76791,24168,10117,848
0,0,0,0,0
0,0,0,0,0
14867,2429,717,362,3400
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
54875,76791,24168,10117,3507
0,0,0,0,0
0,0,0,0,0
12823,2839,840,418,2878
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
55379,76791,24168,10117,3653
0,0,0,0,0
0,0,0,0,0
12476,2429,716,362,2677
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
55632,76791,24168,10117,3459
0,0,0,0,0
0,0,0,0,0
13619,2839,840,418,2773
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
55586,76791,24168,10117,3501
0,0,0,0,0
0,0,0,0,0
12687,2429,716,362,2792
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
56893,76791,24168,10117,3503
0,0,0,0,0
0,0,0,0,0
13943,2905,857,428,2717
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
58412,76791,24168,10117,3673
0,0,0,0,0
0,0,0,0,0
12842,2429,716,362,2935
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
57059,76791,24168,10117,3568
0,0,0,0,0
0,0,0,0,0
13608,2839,839,418,2798
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
55880,76791,24168,10117,3654
0,0,0,0,0
0,0,0,0,0
11909,2429,717,362,2698
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
57042,76791,24168,10117,3692
0,0,0,0,0
0,0,0,0,0
12997,2839,839,418,2840
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
55272,76791,24168,10117,3243
0,0,0,0,0
0,0,0,0,0
12101,2429,716,362,2756
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
54886,76791,24168,10117,3542
0,0,0,0,0
0,0,0,0,0
13964,2905,857,428,2804
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
55603,76791,24168,10117,3502
0,0,0,0,0
0,0,0,0,0
13091,2429,717,362,2808
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
54353,76791,24168,10117,2096
0,0,0,0,0
0,0,0,0,0
10077,2839,839,418,2426
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
